Data,Otwarcie,Zamknięcie,Maks.,Min.,Obrót (mln. zł),Zmiana (%)
25/03/2019,8315,8420,8500,8235,16.96,0
25/03/2019,8315,8420,8500,8235,16.96,0.84
22/03/2019,8450,8350,8510,8300,18.52,-1.82
21/03/2019,8425,8505,8545,8355,19.52,0.95
20/03/2019,8375,8425,8435,8370,9.47,0.6
19/03/2019,8410,8375,8440,8335,9.9,-0.18
18/03/2019,8395,8390,8540,8300,9.67,-0.06
15/03/2019,8350,8395,8525,8345,57.66,0.18
14/03/2019,8380,8380,8400,8300,25.91,0.3
13/03/2019,8155,8355,8370,8155,34.87,1.09
12/03/2019,8130,8265,8275,8055,17.85,2.73
11/03/2019,7915,8045,8125,7900,11.66,2.29
08/03/2019,8095,7865,8100,7825,11.74,-3.26
07/03/2019,8045,8130,8210,8040,10.25,0.37
06/03/2019,8000,8100,8125,7950,8.45,1.25
05/03/2019,7965,8000,8050,7965,11.02,0.13
04/03/2019,8035,7990,8085,7955,12.18,0.19
01/03/2019,8245,7975,8315,7975,13.59,-2.21
28/02/2019,7990,8155,8240,7925,33.21,2.32
27/02/2019,8065,7970,8110,7910,18.06,-1.91
26/02/2019,8200,8125,8200,7965,28.48,-0.61
25/02/2019,8095,8175,8255,7915,18.28,2.96
22/02/2019,7640,7940,7945,7640,19.97,3.93
21/02/2019,7700,7640,7815,7590,19.28,-0.13
20/02/2019,7720,7650,7800,7555,25.74,-0.97
19/02/2019,7790,7725,7855,7685,15.33,-0.83
18/02/2019,7755,7790,7890,7745,9.26,0.45
15/02/2019,7670,7755,7840,7630,11.18,1.37
14/02/2019,7850,7650,7900,7620,22.62,-1.92
13/02/2019,8105,7800,8220,7750,17.95,-3.76
12/02/2019,8135,8105,8225,8050,10.12,-0.18
11/02/2019,8105,8120,8240,8105,4.13,0.19
08/02/2019,8270,8105,8345,8105,7.39,-2.35
07/02/2019,8245,8300,8400,8210,7.35,-0.54
06/02/2019,8310,8345,8450,8290,11.2,-0.18
05/02/2019,8330,8360,8425,8180,14.53,0.36
04/02/2019,8375,8330,8600,8245,8.64,-0.24
01/02/2019,8375,8350,8395,8225,12.25,-0.24
31/01/2019,8080,8370,8435,8020,23.98,3.98
30/01/2019,8175,8050,8250,7910,25.15,-0.62
29/01/2019,8350,8100,8405,8065,22.68,-3.23
28/01/2019,8700,8370,8720,8270,17.86,-3.29
25/01/2019,8600,8655,8695,8405,25.47,0.46
24/01/2019,8330,8615,8615,8325,23.13,3.42
23/01/2019,8050,8330,8415,7955,17.72,3.16
22/01/2019,7950,8075,8090,7950,10.86,1.57
21/01/2019,8075,7950,8075,7865,6,-2.27
18/01/2019,8000,8135,8170,7975,13.91,1.81
17/01/2019,7800,7990,8085,7800,20.37,1.14
16/01/2019,7800,7900,7935,7675,27.84,2.6
15/01/2019,7815,7700,7820,7690,20.07,-0.77
14/01/2019,7845,7760,7845,7640,14.34,-1.15
11/01/2019,7900,7850,7935,7765,19.75,-0.57
10/01/2019,7950,7895,7955,7800,30.75,-1.5
09/01/2019,7990,8015,8065,7920,16.02,0.31
08/01/2019,8060,7990,8085,7870,17.64,-1.84
07/01/2019,7840,8140,8150,7815,29.71,4.29
04/01/2019,7720,7805,7835,7680,25.71,1.69
03/01/2019,7870,7675,7885,7530,33.47,-2.23
02/01/2019,7800,7850,7975,7660,9.89,0
31/12/2018,7850,7850,7850,7850,0,0
28/12/2018,7790,7850,7920,7700,15.75,1.75
27/12/2018,7780,7715,7800,7645,19.04,-0.84
24/12/2018,7780,7780,7780,7780,0,0
21/12/2018,7940,7780,8075,7705,55.06,-2.93
20/12/2018,8130,8015,8290,7930,19.91,-3.26
19/12/2018,7990,8285,8305,7970,33.7,4.21
18/12/2018,7645,7950,7960,7635,31.93,4.33
17/12/2018,7720,7620,7750,7615,13.98,-0.46
14/12/2018,7845,7655,7915,7655,23.56,-2.42
13/12/2018,7705,7845,7870,7610,32.8,2.15
